epoch,lr,epoch_time_sec,train_loss,val_loss,dice_tc,dice_wt,dice_et,mean_dice,hd95_tc,hd95_wt,hd95_et,mean_hd95,sens_tc,sens_wt,sens_et,mean_sens,spec_tc,spec_wt,spec_et,mean_spec,iou_tc,iou_wt,iou_et,mean_iou,miou_tc,miou_wt,miou_et,mean_miou,f1_tc,f1_wt,f1_et,mean_f1,auc_tc,auc_wt,auc_et,mean_auc,is_best
1,2.08e-05,2843.0204994678497,1.0809652316525127,0.77482274997802,0.044733401387929916,0.26171812415122986,0.013361363671720028,0.1066042964036266,106.64822687696635,75.0633741583862,126.7376991613625,102.81643339890502,0.8395223307821092,0.500230849727009,0.9515016184661386,0.763751599658419,0.510293243926727,0.9324036092588528,0.017604797168992613,0.4867672167848575,0.023482197138747954,0.15959458100429463,0.006444698241380771,0.06317382546147444,0.2662939639554603,0.5390842689652234,0.012024731418286805,0.2724676547796568,0.044733402641554634,0.2617181285004336,0.012725107686042694,0.10639221294267696,0.0,0.0,0.0,0.0,True
2,4.06e-05,2223.8359684944153,1.673737537454475,2.9658021574928646,0.024972302839159966,0.7527195811271667,0.4012027084827423,0.3929648641496897,110.80785835555048,25.47711540262589,52.752703592500424,63.01255911689227,0.9900223927581985,0.8045767140737335,0.7403579201200177,0.84498567565065,0.026667358423300185,0.994170030691859,0.9888132068571402,0.6698835319907666,0.0127732718728558,0.6270903761350528,0.259334686657997,0.2997327782219686,0.019718605078764082,0.8072337015242612,0.6234777793792092,0.4834766953274115,0.024972299576844277,0.752719559236051,0.3820978138249999,0.38659655754596506,0.0,0.0,0.0,0.0,True
3,6.04e-05,2434.1679649353027,1.3968318651119869,2.4650736309233165,0.07790520042181015,0.7790133357048035,0.6542848944664001,0.5037344768643379,93.75965375932414,15.575777659800593,38.25427463054624,49.19656868322366,0.9936263771457928,0.8766858397551374,0.5852063583640754,0.8185061917550018,0.7141745321051178,0.9929936554575312,0.9991683223013446,0.9021121699546645,0.04172041931927586,0.6619752005592051,0.5061781272824575,0.40329124905364616,0.3779025158816688,0.8251357517081862,0.751618891298784,0.6515523862962129,0.0779051985728567,0.7790133012742986,0.6231284885135202,0.49334899612022515,0.0,0.0,0.0,0.0,True
4,8.02e-05,2473.3947863578796,0.9329627409125819,1.4679507346380325,0.4636991322040558,0.8051302433013916,0.6888240575790405,0.652551144361496,26.481880204379447,12.875254127238485,31.618751621178333,23.658628650932087,0.9510098756662477,0.8791803602602738,0.741799829206972,0.8573300217111646,0.980417950484921,0.9944929388652892,0.9980929211523186,0.9910012701675096,0.3299965334239887,0.6972565087270604,0.5399858409342908,0.5224129610284466,0.6547038545830643,0.8435896697038118,0.7684808924371759,0.7555914722413507,0.46369911605506026,0.8051302433953916,0.6560229966341099,0.6416174520281873,0.0,0.0,0.0,0.0,True
5,0.0001,2465.9325103759766,0.694740504026413,0.9055765310923258,0.5974524021148682,0.8302599787712097,0.6895365118980408,0.7057496309280396,18.383888286063815,12.66865787237515,24.588511247430112,18.54701913528969,0.9099512917167024,0.8598000978644907,0.7639642564108036,0.8445718819973322,0.991409387802597,0.9964605974131455,0.9979166231812621,0.9952622027990016,0.46108625645659995,0.7291065400157396,0.5409712277527143,0.5770546747416846,0.725278347706959,0.8601902289513247,0.7689439663759051,0.7848041810113963,0.5974523694120336,0.8302600169514303,0.6567014170854022,0.6948046011496221,0.0,0.0,0.0,0.0,True
6,9.98794204878613e-05,2452.285284757614,0.5797143554540746,0.6476690482525599,0.7147723436355591,0.8475141525268555,0.7021710276603699,0.7548191746075948,15.1655635360407,12.219944187948212,39.09674099809159,22.160749574026834,0.8538415715824382,0.857136199287626,0.7585399466010169,0.8231725724903604,0.9967753840910167,0.9971420879814865,0.9980951703424699,0.9973375474716577,0.5912298836863487,0.7523706222740622,0.5557872212105708,0.6331292423903272,0.7924923157936605,0.8722385149263128,0.7764303744959505,0.8137204017386411,0.7147723084789959,0.8475141258269542,0.6687342998906555,0.7436735780655352,0.0,0.0,0.0,0.0,True
7,9.951826940270773e-05,2468.4396369457245,0.4992111478508873,0.49723818259579794,0.7473964691162109,0.8571959137916565,0.7175619602203369,0.7740514477094015,14.32309830467715,13.183580572301645,23.097406908145352,16.86802859504138,0.83085613689752,0.8527942156149168,0.7628723412903945,0.8155075646009436,0.9976754486786712,0.9975643101443151,0.9981989291701308,0.9978128959977056,0.6296200923241247,0.7657708117646538,0.572867994614667,0.6560862995678152,0.812026818802082,0.8792104197516656,0.7850345907886952,0.8254239431141476,0.747396476346479,0.857195938721255,0.6833923665720782,0.7626615938799374,0.0,0.0,0.0,0.0,True
8,9.891830623632339e-05,2479.3250188827515,0.46400478868886375,0.39881350014890943,0.7643862962722778,0.8603957295417786,0.7341966032981873,0.7863262097040812,11.81859309374805,10.487305666479816,27.177436870432928,16.494445210220263,0.8044345489946438,0.8366683074469669,0.7472949449571454,0.796132600466252,0.9982282497235303,0.9981006825546771,0.9985149795648235,0.9982813039476769,0.6521362007730331,0.7697425497639983,0.5933063884823226,0.671728379673118,0.8234543861069252,0.8812944222044746,0.795366710580839,0.8333718396307462,0.7643863012998043,0.860395699635801,0.6992349020131351,0.7746723009829135,0.0,0.0,0.0,0.0,True
9,9.808245394894679e-05,2480.074496984482,0.44046231520108203,0.3383766931437311,0.7732400298118591,0.8647019863128662,0.7445066571235657,0.7941495577494303,10.252174179878377,10.31589173039507,25.63917258472211,15.402412831665188,0.7909240142088882,0.8313287733465138,0.7315859148073721,0.7846129007875914,0.9984932764038045,0.9983437174093681,0.9987950106410933,0.9985440014847553,0.6644721499209056,0.7752252761645692,0.6064633845778553,0.6820536035544432,0.8297221060595774,0.8841218547300023,0.8020289909648484,0.838624317251476,0.7732399531422552,0.8647019264593591,0.7090539674031219,0.7823319490015788,0.0,0.0,0.0,0.0,True
10,9.701478472890248e-05,2721.9943323135376,0.410855940035121,0.29784102674041474,0.7773821353912354,0.8689252734184265,0.7482179403305054,0.7981751163800558,9.997815176965995,9.689457295298011,28.47248669711904,16.053253056461013,0.7813833540168849,0.831163111618171,0.7171848531703636,0.7765771062684731,0.998643974187146,0.9984807029533584,0.9989884867957419,0.9987043879787487,0.672035071543548,0.7811034345793473,0.6125602773850355,0.6885662611693103,0.8335833709818452,0.8871740297237959,0.8051271973296559,0.8419615326784323,0.7773821643542373,0.8689253569915398,0.7125884458359134,0.7862986557272302,0.9888451558247018,0.9927760928894028,0.9183194878519689,0.9666469121886913,True
