epoch,lr,epoch_time_sec,train_loss,val_loss,dice_tc,dice_wt,dice_et,mean_dice,hd95_tc,hd95_wt,hd95_et,mean_hd95,sens_tc,sens_wt,sens_et,mean_sens,spec_tc,spec_wt,spec_et,mean_spec,iou_tc,iou_wt,iou_et,mean_iou,miou_tc,miou_wt,miou_et,mean_miou,f1_tc,f1_wt,f1_et,mean_f1,auc_tc,auc_wt,auc_et,mean_auc,is_best
1,2.08e-05,3403.978611469269,1.0732196644772474,0.7696047907783872,0.08835946023464203,0.3780144453048706,0.0743328407406807,0.18023558209339777,90.76607445703902,72.13938218388104,101.13931741442038,88.01492468511348,0.964649077813273,0.925148543485983,0.3823911330897011,0.7573962514629858,0.7576773262850003,0.9106365958771478,0.9382450927791357,0.8688530049804278,0.04784000384718758,0.2535029188435979,0.03800431882342067,0.11311574717140203,0.4025440536430011,0.5808777157307142,0.4863289407503444,0.4899169033746866,0.0883594612909939,0.3780144422931722,0.07079318192764658,0.17905569517060424,0.0,0.0,0.0,0.0,True
2,4.06e-05,3102.220720052719,1.1918994760814625,1.2791242082913716,0.20298609137535095,0.7896119356155396,0.6609379053115845,0.551178644100825,97.36108431010793,28.212067798869697,36.511797688741765,54.028316599239794,0.9683692427323481,0.8468626406768105,0.7128463850812364,0.8426927561634651,0.9132415937200735,0.9949106240548425,0.9978821603621232,0.9686781260456797,0.12178355798976372,0.6789099977996088,0.5071594603943835,0.43595100539458537,0.5172407543643462,0.8341916426329441,0.7518539771776898,0.7010954580583267,0.20298610131790823,0.7896119291197263,0.629464623832694,0.5406875514234428,0.0,0.0,0.0,0.0,True
3,6.04e-05,3121.1937503814697,0.9479087614711804,1.0376256079900832,0.4234198331832886,0.7928935289382935,0.623077392578125,0.613130251566569,38.77431582403708,18.835865966567273,36.60515637406195,31.40511272155543,0.9738996571676534,0.93649390795874,0.8326340196100516,0.9143425282454817,0.9747114289991768,0.9916815913205491,0.9958208634736371,0.987404627931121,0.29705902693684993,0.6870237429302938,0.4703104486058191,0.48479773949098764,0.6356065403336694,0.8380344450358711,0.7327693254941936,0.7354701036212448,0.4234198034697964,0.7928935453334095,0.5934069814321845,0.6032401100784636,0.0,0.0,0.0,0.0,True
4,8.02e-05,3105.454477071762,0.6769560645165225,0.8362145940462749,0.4857023060321808,0.8156996369361877,0.6439691781997681,0.6484570403893789,27.308318582525718,15.593411442695302,34.42724426616232,25.776324763794445,0.9689292765084678,0.9435673631237955,0.8420270680167103,0.9181745692163247,0.9812021239034627,0.9926647504664712,0.9961960832577638,0.9900209858758992,0.3529264286013629,0.7171453221856362,0.49466220915408887,0.5215779866470293,0.6667319950496275,0.8537685791551062,0.7451382149573571,0.755212929720697,0.48570228017437356,0.8156995724450913,0.6133039706070805,0.6382352744088485,0.0,0.0,0.0,0.0,True
5,0.0001,3123.490604162216,0.47610275887576703,0.6156950453917186,0.6632585525512695,0.8564592003822327,0.6979209780693054,0.7392129103342692,18.08867216798817,10.957653927194857,30.019809483464424,19.68871185954915,0.948787808852845,0.9276664058183628,0.8369488026642968,0.9044676724451682,0.9926483510489554,0.9952052936113205,0.99712838104014,0.9949940085668052,0.5354388656023219,0.7680695937061661,0.549627909793816,0.6177121230341013,0.7634632854962105,0.8802922608014145,0.7730661813509239,0.8056072425495163,0.6632585731361519,0.8564592344594867,0.6646866968527436,0.7281348348161273,0.0,0.0,0.0,0.0,True
6,9.991927064434372e-05,3087.5285902023315,0.38585349799709107,0.4474794028770356,0.7814088463783264,0.8777762055397034,0.7453713417053223,0.8015187978744507,11.846340153815447,9.776001517992311,27.74509505276515,16.455812241524303,0.9196262698865433,0.8977254851641927,0.8120922070962544,0.8764813207156634,0.9968157436879744,0.9971260042868225,0.9981031139075106,0.9973482872941025,0.6792234466983201,0.795673210164006,0.6058202945171773,0.6935723171265011,0.8371712124660219,0.8946358452218698,0.8015751071066507,0.8444607215981809,0.7814088955753513,0.8777763092862176,0.7098774348910639,0.7896875465842109,0.0,0.0,0.0,0.0,True
7,9.967734589975323e-05,3093.9538140296936,0.34214724988733985,0.3318066867334502,0.8270867466926575,0.887744128704071,0.7711923122406006,0.8286743958791097,9.906852130392446,9.471449730103355,25.797491503521194,15.058597788005663,0.8949827434804462,0.8861887225408515,0.7903622163001632,0.8571778941071536,0.998073103899336,0.997892703107346,0.9986750676978067,0.9982136249014962,0.7339726266032596,0.8080822759841377,0.6355000248234012,0.7258516424702662,0.8650266180762094,0.901108467294277,0.8166474611029113,0.8609275154911327,0.8270866991610651,0.8877441233193115,0.7344688712900692,0.8164332312568153,0.0,0.0,0.0,0.0,True
8,9.927501487446081e-05,3095.066657304764,0.3042530880131616,0.2587850960237639,0.8519421815872192,0.8946054577827454,0.7848131060600281,0.8437869151433309,7.860690019456472,8.735070287882222,23.795972007850743,13.463910771729813,0.8774015115588701,0.8818833398209645,0.7728499518142199,0.8440449343980182,0.9986617077689699,0.9982787159251796,0.998964138160791,0.9986348539516469,0.7629183233690083,0.8170000941898806,0.6507849436617389,0.7435677870735425,0.8796913476717554,0.9057303147538872,0.8243881330412811,0.8699365984889745,0.8519421443273226,0.8946053764921182,0.7474411001204834,0.8313295403133081,0.0,0.0,0.0,0.0,True
9,9.871358988864551e-05,3124.042407512665,0.2916311682989059,0.20288449412300474,0.867261528968811,0.902380645275116,0.7921646237373352,0.8539355993270874,5.9521166126775205,6.3388754897820325,15.455596021596547,9.2488627080187,0.8708044283104374,0.881333694680311,0.7666306360767443,0.8395895863558308,0.9989249112798897,0.9985387407358591,0.9990784166052169,0.9988473562069885,0.7815613896121124,0.8282574647964723,0.6583132067251771,0.7560440203779205,0.8891466616806171,0.9115119414536732,0.8281904661059024,0.8762830230800643,0.8672616475374297,0.9023806485553703,0.7544425433593823,0.8413616131507275,0.0,0.0,0.0,0.0,True
10,9.799490219391763e-05,3312.7875599861145,0.2844409105407683,0.18605638728255317,0.8724454045295715,0.9051662087440491,0.7973054647445679,0.8583056926727295,5.807378210890895,5.636982458763687,15.388440730464797,8.944267133373126,0.8642012442631564,0.8804157090281614,0.7630307442548745,0.8358825658487308,0.9990332869846722,0.9985921819757243,0.9991546864632004,0.9989267184745323,0.7883987126241214,0.8322964519736807,0.6628266360182943,0.7611739335386988,0.8926186355463267,0.9135729104054836,0.8304699780696421,0.8788871746738175,0.8724452462907725,0.9051661308406662,0.7593385075147253,0.8456499615487214,0.9895782875336558,0.9864960925486806,0.9298184426559191,0.9686309409127518,True
