epoch,lr,epoch_time_sec,train_loss,val_loss,dice_tc,dice_wt,dice_et,mean_dice,hd95_tc,hd95_wt,hd95_et,mean_hd95,sens_tc,sens_wt,sens_et,mean_sens,spec_tc,spec_wt,spec_et,mean_spec,iou_tc,iou_wt,iou_et,mean_iou,miou_tc,miou_wt,miou_et,mean_miou,f1_tc,f1_wt,f1_et,mean_f1,auc_tc,auc_wt,auc_et,mean_auc,is_best
1,2.08e-05,2874.8694541454315,1.083040862485315,0.7759792447090149,0.11211207509040833,0.43374183773994446,0.0024507520720362663,0.18276822163412967,98.62343492140651,70.60760076242849,121.66618364911025,96.96573977764842,0.7191253936480488,0.6931347207982308,0.08115420971674747,0.49780477472100904,0.8640472828467433,0.9607082744435381,0.5726592508957172,0.7991382693953328,0.06295937342494515,0.29899167968473617,0.0011704393819402376,0.12104049749720718,0.4617314388043264,0.6253317852061662,0.2851215457638441,0.4573949232581122,0.11211206889386724,0.4337418411134512,0.002334049361261031,0.18272931978952647,0.0,0.0,0.0,0.0,True
2,4.06e-05,2190.6377289295197,1.4112575503461289,2.9271705196017312,0.39823848009109497,0.7681632041931152,0.01967531628906727,0.3953590001910925,57.82611439552451,28.77548055118237,40.32007952084273,42.30722482251654,0.8696866819961769,0.8260624828804811,0.009663787493032181,0.56847098412323,0.9768736377893272,0.994366818901027,0.9999807240932113,0.9904070602611886,0.27412687870400215,0.6484872027604826,0.009623922169234092,0.3107460012112396,0.6244373579317034,0.8183289818402091,0.5016714056724129,0.6481459151481084,0.3982385034104992,0.7681632085378157,0.01873839678185149,0.3950467029100555,0.0,0.0,0.0,0.0,True
3,6.04e-05,2451.7432231903076,1.2127313475039871,1.8568117550441197,0.4723621606826782,0.802704930305481,0.41640299558639526,0.5638233621915182,28.029316387809406,15.715272702425501,33.45003997717835,25.731543022471087,0.9171627911904808,0.8597628251333614,0.29949877969170646,0.6921414653385162,0.9823203677631593,0.9950257576225785,0.999812385397616,0.9923861702611179,0.3385870095649138,0.692026254509148,0.289910717749634,0.4401746606078986,0.6596784460988392,0.8408557901195206,0.6429352598268102,0.7144898320150567,0.472362190638401,0.802705007622458,0.3965742957951793,0.5572138313520127,0.0,0.0,0.0,0.0,True
4,8.02e-05,2505.169894695282,0.8632782379334624,1.2215495404743013,0.5135447382926941,0.8199647665023804,0.6527149081230164,0.6620748043060303,22.585298282929045,12.959929693143456,34.32351524575298,23.28958107394183,0.913170560759068,0.8529460169824962,0.5966276457756109,0.7875814078390584,0.9856882726250557,0.9961530543797471,0.9990799459655025,0.9936404243234351,0.37626889775638506,0.7161470861750001,0.5102554584426667,0.5342238141246839,0.6801615591664261,0.8534069318595177,0.753726134814759,0.762431541946901,0.5135447085015475,0.8199647576154684,0.6216332168558727,0.6517142276576297,0.0,0.0,0.0,0.0,True
5,0.0001,2505.0151166915894,0.6693259294173031,0.8068849149204436,0.6611921191215515,0.8385584950447083,0.6899235248565674,0.7298913796742758,15.738027873823256,13.310136357355693,35.389655255311034,21.479273162163327,0.8816369097469943,0.8443151754557252,0.7004335182035473,0.8087952011354224,0.9946613962992353,0.9972270150223775,0.9986698859011371,0.9968527657409166,0.5304516081238383,0.7393961685740831,0.5464339246315525,0.6054272337764912,0.7612994793928451,0.8654697847375491,0.7718500343444991,0.7995397661582978,0.6611921178654028,0.8385584452942095,0.6570700070471626,0.718940190068925,0.0,0.0,0.0,0.0,True
6,9.98794204878613e-05,2516.4255084991455,0.5507741397190274,0.5810804503304617,0.7198920249938965,0.8491232991218567,0.7054746150970459,0.758163313070933,14.91796746707308,12.373897967214768,28.635455830019094,18.642440421435648,0.8573721411960264,0.8422799853448352,0.7528402644082502,0.8174974636497039,0.9967817528713917,0.9976046275824585,0.9983120587345635,0.9975661463961379,0.5983727123192063,0.7540930842333651,0.560159442818156,0.6375417464569092,0.796112407052299,0.8731350222172559,0.7786760999793231,0.8159745097496259,0.7198920678413037,0.8491232359859899,0.6718806346078016,0.7469653128116983,0.0,0.0,0.0,0.0,True
7,9.951826940270773e-05,2499.8403894901276,0.45665417538222036,0.46084202896981014,0.7449181079864502,0.8551046252250671,0.717347264289856,0.7724566658337911,15.442643929321303,12.130938333155623,30.308005499596074,19.293862587357665,0.8482268513883995,0.8411487588437273,0.7744334009990489,0.8212696704103918,0.9973428260200635,0.9978148926210817,0.9982007239101955,0.9977861475171136,0.6278212409881894,0.7625146709901668,0.5730957004517693,0.6544772041433752,0.8111160539811064,0.8775396230243503,0.7851529309092671,0.824602869304908,0.7449181147887123,0.8551046824814923,0.6831878366800597,0.7610702113167548,0.0,0.0,0.0,0.0,True
8,9.891830623632339e-05,2494.8625152111053,0.42296825346508715,0.3793950682594663,0.7671824097633362,0.8601090908050537,0.7380744814872742,0.7884553273518881,11.728148058595147,11.603531071458812,28.005189330569433,17.112289486874463,0.8244090169260182,0.8374138993644707,0.7546471461045842,0.8054900207983576,0.9980387506941472,0.998085170477831,0.99861630978663,0.9982467436528694,0.6557628094155142,0.7691683260634551,0.5971977089880071,0.6740429481556588,0.8253243734857054,0.8810060660325792,0.7973540317250563,0.834561490414447,0.767182443811479,0.8601091002864818,0.7029281183759554,0.7767398874913054,0.0,0.0,0.0,0.0,True
9,9.808245394894679e-05,2486.328193664551,0.41900055889378895,0.338746017288594,0.7792680263519287,0.8636453747749329,0.7480713725090027,0.7969949245452881,11.20601275022582,11.847532321465756,25.977098795122927,16.343547955604834,0.8059337081333491,0.836244193046445,0.7288850854183946,0.7903543288660629,0.9984297702738524,0.9982321021288143,0.9989357113189291,0.9985325279071987,0.67215935161174,0.7739731055876804,0.6102843347820591,0.6854722639938265,0.8336638515515892,0.8835068191846056,0.8039880212838784,0.8403862306733577,0.7792679861378125,0.8636454111031613,0.7124488582881169,0.7851207518430302,0.0,0.0,0.0,0.0,True
10,9.701478472890248e-05,2742.9899570941925,0.39702409652597975,0.31716747539384027,0.7882683873176575,0.8683425188064575,0.7510216236114502,0.8025441765785217,10.060251387493789,9.428127973112314,28.24204642090246,15.910141927169525,0.7949328284793409,0.8372929859849043,0.7110066568841258,0.781077490449457,0.9986350014910492,0.9983029055770396,0.9991337339360609,0.9986905470013833,0.6840388252671011,0.7804548387320059,0.6146075973096105,0.6930337537695724,0.8396805960374973,0.8868451200690347,0.8061918899021037,0.8442392020028787,0.7882683274762251,0.8683425832020444,0.7152587274818728,0.7906232127200474,0.9866737695127841,0.9889289526962346,0.921979150517275,0.9658606242420978,True
